FC Target vs Input,FC Target vs Beads,seq_origin,log_FC_Target_vs_Input,log_FC_Target_vs_Beads
0.8248796661,1.2218162717,Bayer1,-0.0836094019,0.0870059046
0.9062741673,0.7584050567,Bayer1,-0.0427403991,-0.12009878
0.6363680016,0.7778866599,Bayer1,-0.1962916661,-0.1090836762
0.8836636523,0.8492972873,Bayer1,-0.0537130084,-0.0709402631
0.8513334558,1.0353159478,Bayer1,-0.0699002993,0.0150729039
0.8486101434,0.9855520277,Bayer1,-0.0712917814,-0.0063204442
0.888638379,0.9732717461,Bayer1,-0.0512749342,-0.0117658839
0.9963963617,1.2117914634,Bayer1,-0.0015678669,0.0834278887
0.9242858505,0.9233156533,Bayer1,-0.0341936953,-0.0346498016
0.6725047652,0.8797654284,Bayer1,-0.172304634,-0.0556331082
1.2705796672,1.159390409,Bayer1,0.1040019011,0.0642297034
1.0670145512,0.8778357792,Bayer1,0.0281703421,-0.056586722
0.9913918219,1.0252903006,Bayer1,-0.003754668,0.0108468489
0.7151899967,0.7170414574,Bayer1,-0.1455785686,-0.1444557339
9.867346016,0.5797202706,Bayer1,0.9942003578,-0.2367815137
0.8261773755,1.0509979582,Bayer1,-0.0829267022,0.0216018723
0.8695607706,1.4554269321,Bayer1,-0.0607000613,0.1629904071
1.2022793528,0.9679692799,Bayer1,0.0800053889,-0.0141384255
1.1777833659,1.3128791843,Bayer1,0.0710654164,0.1182247626
0.5180649331,0.6838619065,Bayer1,-0.2856158034,-0.1650315873
0.9935338921,1.1067922035,Bayer1,-0.0028173134,0.0440660912
0.6924264152,0.6068919055,Bayer1,-0.1596263727,-0.2168886549
0.698077521,0.9707014231,Bayer1,-0.1560963466,-0.0129143337
1.0593153921,0.8514195776,Bayer1,0.0250252827,-0.0698563678
0.7575393938,0.5228136782,Bayer1,-0.1205947779,-0.2816530586
0.9044117208,1.0828211888,Bayer1,-0.043633818,0.0345567455
0.8034607902,0.8849424548,Bayer1,-0.0950353125,-0.0530849693
1.1373879843,1.2359001077,Bayer1,0.0559086359,0.0919833701
0.7295963248,0.9178132678,Bayer1,-0.1369173623,-0.0372456685
1.2726193071,1.2013697981,Bayer1,0.1046985077,0.0796767098
0.91182479,1.0028748646,Bayer1,-0.0400886047,0.0012467466
0.7693583259,0.7953411563,Bayer1,-0.113871342,-0.0994465437
0.9720937051,1.1000553281,Bayer1,-0.0122918692,0.0414145289
0.8236866079,1.1219686089,Bayer1,-0.0842379951,0.0499807062
1.2724131954,1.3098243048,Bayer1,0.1046281642,0.1172130448
0.898434691,1.0097427809,Bayer1,-0.0465134871,0.0042107569
0.709866752,1.1005547743,Bayer1,-0.1488231644,0.0416116621
1.0248549893,1.0597617335,Bayer1,0.0106624198,0.0252082337
1.1174515358,1.1413394739,Bayer1,0.0482286967,0.0574148379
1.301736389,1.0789794627,Bayer1,0.1145230454,0.0330131784
1.110334698,0.977994066,Bayer1,0.0454539117,-0.0096637803
0.8062159853,0.733414967,Bayer1,-0.0935485951,-0.1346502315
0.9835466023,1.1079080292,Bayer1,-0.0072050576,0.0445037098
1.0549707739,0.9106768425,Bayer1,0.0232404284,-0.0406357069
0.0131187709,0.0142829207,Bayer1,-1.8821068523,-1.8451829753
57.0567607923,57.0567607923,Bayer1,1.7563071124,1.7563071124
0.8360306547,0.9076732784,Bayer1,-0.077777798,-0.0420704499
0.8945090708,0.8808098772,Bayer1,-0.0484152511,-0.0551178239
1.1505326449,0.9985480546,Bayer1,0.0608989457,-0.0006310301
0.8936368121,1.0771561228,Bayer1,-0.0488389494,0.0322786544
0.8689516989,0.8458530077,antiFlag,-0.0610043634,-0.0727051021
1.6158871536,1.1344000194,Bayer1,0.2084110283,0.0547662252
0.7334813386,0.8215285681,Bayer1,-0.1346109311,-0.0853773297
0.8426762213,1.0466412889,Bayer1,-0.0743392608,0.0197978632
1.5856294609,1.8935572412,Bayer1,0.2002017064,0.2772784381
1.1194681687,0.4686226563,Bayer1,0.0490117492,-0.3291767186
11.5763053629,0.3400682499,Bayer1,1.0635699742,-0.4684339136
1.0051342081,1.4301800871,Bayer1,0.0022240537,0.1553907269
1.0418818636,1.0826094533,Bayer1,0.0178184782,0.034471815
1.0357491728,0.9821083801,Bayer1,0.0152545951,-0.0078405832
1.204701543,1.1862115327,Bayer1,0.0808794666,0.0741621421
0.3140698255,0.4527735535,Bayer1,-0.5029737867,-0.3441189482
0.9433683239,1.0808484236,Bayer1,-0.0253187104,0.0337647935
1.1554534438,0.653603171,NA,0.0627524513,-0.1846858495
0.6658127124,0.8821447707,Bayer1,-0.1766479171,-0.054460136
0.7161279576,0.9883943317,Bayer1,-0.1450093711,-0.0050697539
0.9326848448,0.9096688028,Bayer1,-0.03026508,-0.0411166992
0.9424557674,1.167209113,Bayer1,-0.0257390235,0.0671486697
0.9596693795,1.0565186999,Bayer1,-0.0178783622,0.0238771883
1.2263296813,1.0310808548,Bayer1,0.0886072398,0.0132927229
0.8697772868,1.064342759,Bayer1,-0.0605919376,0.0270815099
11.3695282599,1.2605561025,Bayer1,1.0557424455,0.1005621792
0.7112399175,0.8050085739,Bayer1,-0.1479838771,-0.094199494
1.2883002954,1.0692648194,Bayer1,0.1100171064,0.029085278
0.7853463756,1.043297919,Bayer1,-0.1049387562,0.0184083411
0.9060999849,1.2394249801,Bayer1,-0.0428238768,0.0932202449
0.6566787928,0.8614687516,Bayer1,-0.1826470089,-0.0647604713
0.8627782054,0.8938640361,Bayer1,-0.0641008341,-0.0487285358
1.1446218259,1.1664760796,Bayer1,0.0586620229,0.0668758373
0.8775121715,1.0789034103,Bayer1,-0.056746851,0.0329825659
0.9815142128,1.015571254,Bayer1,-0.0081034072,0.0067103995
