FC Target vs Input,FC Target vs Beads,seq_origin,log_FC_Target_vs_Input,log_FC_Target_vs_Beads
9934.7097970041,583.6231930221,Bayer1,3.9971551854,2.7661325423
685.6200865148,1.1118024946,Bayer1,2.8360835326,0.0460276441
369.686361445,1.2550854327,Bayer1,2.5678334288,0.0986732889
361.914840996,1.2222215398,Bayer1,2.5586063925,0.0871499332
355.6688528448,1.300360279,Bayer1,2.5510458342,0.114063695
330.4980693536,1.2765012716,Bayer1,2.5191689268,0.1060212518
280.945347706,1.0989350217,Bayer1,2.4486218448,0.040972014
270.2105033669,1.0580293381,Bayer1,2.4317022265,0.0244977104
267.5879781283,1.2106595137,Bayer1,2.4274665981,0.0830220192
260.2819157765,1.0363672301,Bayer1,2.4154439947,0.0155136722
246.1383863103,1.0222274239,Bayer1,2.391179349,0.0095475279
217.4843540186,0.5083898169,Bayer1,2.337428019,-0.293803157
205.2494532505,1.2632249492,Bayer1,2.3122820089,0.1014806946
196.6069852667,1.1053289436,Bayer1,2.2935989439,0.0434915424
190.8053495263,1.0731475996,Bayer1,2.2805905467,0.0306594585
186.5632973724,1.2362917628,Bayer1,2.270826209,0.0921209756
177.8205334672,0.9807507308,Bayer1,2.2499819088,-0.0084413596
175.4093770386,0.9418391976,Bayer1,2.2440528062,-0.026023239
170.8709699887,0.8852153604,Bayer1,2.2326682848,-0.0529510587
169.7694415796,1.2911137691,Bayer1,2.2298595201,0.1109645127
139.4812898518,0.8977061837,Bayer1,2.1445159549,-0.0468657833
132.54367211,0.8881151758,Bayer1,2.1223589985,-0.0515307088
129.4108615695,0.7856282308,Bayer1,2.1119707286,-0.104782919
124.3835369687,0.9446971125,Bayer1,2.0947629022,-0.0247074121
119.4326673013,119.4326673013,a4b7,2.0771231316,2.0771231316
118.4340654156,0.4699532747,Bayer1,2.0734766373,-0.3279453199
113.3559475683,0.7792378113,Bayer1,2.0544443117,-0.1083299822
105.7951597052,0.8035140058,Bayer1,2.0244657985,-0.0950065488
103.9882344986,103.9882344986,Bayer1,2.0169842049,2.0169842049
103.342639839,103.342639839,Bayer1,2.0142795512,2.0142795512
95.2764889195,0.929928831,Bayer1,1.9789857444,-0.0315502875
94.4163758719,94.4163758719,Bayer1,1.9750473262,1.9750473262
91.2182207458,0.2710030473,Bayer1,1.9600815969,-0.5670258256
